infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
4085,Excellent,Moderate,Full Access,2G,Full Access
4086,Good,Moderate,Full Access,5G,Full Access
4087,Poor,High,Full Access,5G,No Access
4088,Good,High,Partial Access,2G,No Access
4089,Good,Moderate,Partial Access,4G,Limited Access
4090,Excellent,Moderate,Full Access,5G,Limited Access
4091,Poor,Limited,Full Access,2G,Full Access
4092,Poor,Limited,Partial Access,2G,Full Access
4093,Fair,Moderate,Partial Access,3G,Limited Access
4094,Fair,Limited,No Access,5G,Full Access
4095,Good,High,No Access,3G,Full Access
4096,Poor,Limited,Partial Access,3G,Full Access
4097,Excellent,Limited,Full Access,4G,Limited Access
4098,Fair,Limited,No Access,4G,No Access
4099,Poor,Limited,Full Access,2G,No Access
4100,Good,Limited,Full Access,4G,Limited Access
4101,Excellent,Limited,Partial Access,5G,Limited Access
4102,Poor,Moderate,Full Access,3G,No Access
4103,Fair,Moderate,Partial Access,2G,Full Access
4104,Fair,High,Partial Access,4G,No Access
4105,Good,High,No Access,4G,Full Access
4106,Good,Moderate,Partial Access,5G,Limited Access
4107,Excellent,Limited,No Access,3G,Limited Access
4108,Fair,Moderate,Full Access,3G,Full Access
4109,Fair,Moderate,No Access,4G,Limited Access
4110,Excellent,High,No Access,3G,Full Access
4111,Poor,Limited,Full Access,4G,Limited Access
4112,Fair,Limited,Full Access,4G,Full Access
4113,Good,High,Partial Access,3G,No Access
4114,Good,Moderate,Partial Access,2G,No Access
4115,Good,Moderate,No Access,3G,No Access
4116,Excellent,Moderate,Partial Access,4G,Full Access
4117,Fair,High,Partial Access,2G,No Access
4118,Good,Moderate,No Access,3G,No Access
4119,Poor,High,No Access,3G,Full Access
4120,Good,High,Partial Access,2G,Full Access
4121,Poor,High,Partial Access,4G,Full Access
4122,Good,High,Full Access,2G,Limited Access
4123,Excellent,High,No Access,4G,No Access
4124,Excellent,Moderate,Partial Access,2G,Limited Access
4125,Poor,Moderate,No Access,5G,Limited Access
4126,Poor,Limited,Full Access,3G,No Access
4127,Excellent,Moderate,No Access,2G,No Access
4128,Good,Moderate,Partial Access,3G,Limited Access
4129,Fair,Moderate,Partial Access,3G,No Access
4130,Fair,Limited,No Access,2G,Full Access
4131,Fair,Limited,Partial Access,3G,Full Access
4132,Excellent,Moderate,Partial Access,4G,No Access
4133,Excellent,Moderate,Full Access,5G,Limited Access
4134,Good,Limited,Full Access,2G,No Access
4135,Fair,High,Partial Access,5G,No Access
4136,Good,High,No Access,3G,Full Access
4137,Poor,Moderate,No Access,4G,No Access
4138,Good,Moderate,Full Access,3G,Full Access
4139,Poor,Limited,No Access,5G,Limited Access
4140,Poor,Limited,Full Access,4G,Full Access
4141,Fair,High,Full Access,4G,Full Access
4142,Excellent,High,Full Access,4G,Full Access
4143,Good,Limited,No Access,4G,Limited Access
4144,Good,High,Full Access,5G,No Access
4145,Excellent,High,No Access,2G,Limited Access
4146,Good,Limited,No Access,2G,No Access
4147,Good,High,No Access,5G,Full Access
4148,Excellent,Limited,No Access,3G,Limited Access
4149,Good,Moderate,No Access,5G,Full Access
4150,Fair,Limited,Partial Access,4G,No Access
4151,Good,High,No Access,3G,Limited Access
4152,Poor,High,Full Access,5G,Full Access
4153,Excellent,Moderate,Full Access,4G,Limited Access
4154,Excellent,Limited,No Access,4G,Limited Access
4155,Fair,High,No Access,5G,Full Access
4156,Fair,High,Full Access,3G,Limited Access
4157,Excellent,Limited,No Access,5G,Limited Access
4158,Fair,High,Full Access,4G,No Access
4159,Excellent,High,Full Access,2G,Full Access
4160,Good,Moderate,No Access,4G,No Access
4161,Fair,High,Partial Access,3G,No Access
4162,Good,High,Full Access,5G,Full Access
4163,Fair,High,No Access,4G,No Access
4164,Excellent,Moderate,Full Access,2G,Full Access
4165,Poor,Limited,Partial Access,2G,No Access
4166,Fair,Limited,Full Access,2G,Full Access
4167,Poor,Moderate,Full Access,2G,Full Access
4168,Good,Limited,No Access,2G,Full Access
4169,Excellent,Moderate,Partial Access,3G,No Access
4170,Fair,Limited,No Access,2G,Limited Access
4171,Poor,Limited,No Access,2G,No Access
4172,Excellent,Limited,Full Access,3G,Full Access
4173,Poor,Limited,No Access,2G,Full Access
4174,Poor,Moderate,Partial Access,2G,Limited Access
4175,Good,Moderate,Full Access,5G,Limited Access
4176,Fair,High,No Access,5G,Limited Access
4177,Poor,High,Partial Access,3G,Limited Access
4178,Good,High,Full Access,5G,Limited Access
4179,Fair,High,Partial Access,5G,No Access
4180,Excellent,Limited,No Access,2G,Limited Access
4181,Fair,Limited,Full Access,3G,Full Access
4182,Fair,Limited,Partial Access,2G,Limited Access
4183,Fair,Limited,No Access,4G,No Access
4184,Poor,High,Full Access,2G,Full Access
4185,Poor,Moderate,Partial Access,2G,No Access
4186,Fair,High,No Access,3G,Limited Access
4187,Excellent,High,No Access,3G,Limited Access
4188,Good,Moderate,Partial Access,3G,Limited Access
4189,Good,Limited,Partial Access,2G,Full Access
4190,Excellent,Limited,No Access,3G,No Access
4191,Good,High,Full Access,4G,No Access
4192,Excellent,High,Partial Access,3G,Limited Access
4193,Good,Moderate,Full Access,4G,Full Access
4194,Good,Moderate,Full Access,4G,No Access
4195,Fair,High,Full Access,3G,Limited Access
4196,Excellent,Moderate,Full Access,2G,Full Access
4197,Excellent,Moderate,No Access,3G,No Access
4198,Excellent,Limited,Full Access,2G,Limited Access
4199,Fair,Moderate,No Access,3G,Limited Access
4200,Good,Moderate,No Access,4G,Limited Access
4201,Fair,Moderate,Partial Access,3G,Full Access
4202,Poor,Moderate,Partial Access,3G,No Access
4203,Excellent,Limited,Partial Access,3G,Limited Access
4204,Poor,High,Full Access,3G,Limited Access
4205,Fair,Limited,Full Access,4G,Limited Access
4206,Good,High,Partial Access,4G,Full Access
4207,Poor,High,Full Access,5G,Full Access
4208,Fair,Moderate,No Access,5G,Full Access
4209,Excellent,Moderate,Full Access,5G,Limited Access
4210,Good,Moderate,Full Access,5G,Full Access
4211,Poor,Moderate,Partial Access,3G,Limited Access
4212,Fair,Moderate,Partial Access,2G,Limited Access
4213,Fair,High,No Access,3G,No Access
4214,Good,High,No Access,3G,No Access
4215,Excellent,Limited,Partial Access,4G,Limited Access
4216,Good,High,Partial Access,5G,Limited Access
4217,Excellent,Moderate,Partial Access,2G,No Access
4218,Fair,Moderate,Full Access,2G,Full Access
4219,Good,Moderate,Full Access,2G,No Access
4220,Fair,High,Full Access,2G,Limited Access
4221,Good,Moderate,No Access,2G,Limited Access
4222,Excellent,High,No Access,4G,No Access
4223,Fair,High,Partial Access,5G,Limited Access
4224,Poor,High,Full Access,3G,Limited Access
4225,Good,High,No Access,4G,No Access
4226,Good,Limited,No Access,3G,No Access
4227,Fair,High,Partial Access,4G,Limited Access
4228,Excellent,Moderate,Partial Access,2G,Full Access
4229,Fair,Limited,No Access,4G,Full Access
4230,Excellent,High,Full Access,2G,Full Access
4231,Excellent,High,No Access,5G,Limited Access
4232,Poor,High,No Access,5G,Full Access
4233,Fair,Limited,No Access,4G,No Access
4234,Excellent,High,No Access,3G,Limited Access
4235,Excellent,Moderate,No Access,3G,Full Access
4236,Poor,High,No Access,3G,Full Access
4237,Poor,High,Full Access,4G,Full Access
4238,Fair,Limited,No Access,5G,Limited Access
4239,Excellent,Moderate,No Access,2G,No Access
4240,Poor,Moderate,Full Access,2G,No Access
4241,Poor,Limited,No Access,2G,No Access
4242,Excellent,Limited,Full Access,5G,Limited Access
4243,Excellent,Limited,Partial Access,4G,No Access
4244,Excellent,Moderate,Full Access,2G,Limited Access
4245,Fair,Moderate,Full Access,3G,Limited Access
4246,Fair,Limited,No Access,2G,Full Access
4247,Fair,High,No Access,5G,Full Access
4248,Poor,High,Partial Access,4G,Full Access
4249,Excellent,Moderate,Partial Access,2G,Full Access
4250,Excellent,High,No Access,4G,Full Access
4251,Good,Limited,No Access,3G,No Access
4252,Good,Limited,Partial Access,5G,Limited Access
4253,Poor,Limited,Partial Access,2G,Full Access
4254,Good,Limited,No Access,2G,Limited Access
4255,Good,Moderate,No Access,3G,Limited Access
4256,Excellent,Limited,Full Access,5G,No Access
4257,Excellent,Limited,Partial Access,4G,Full Access
4258,Fair,High,No Access,2G,Limited Access
4259,Poor,Moderate,Partial Access,2G,Limited Access
4260,Good,Limited,No Access,3G,No Access
4261,Good,Limited,Partial Access,5G,Full Access
4262,Fair,Limited,Partial Access,5G,Full Access
4263,Fair,Limited,Partial Access,5G,No Access
4264,Excellent,Limited,Partial Access,4G,Limited Access
4265,Excellent,Moderate,No Access,3G,No Access
4266,Excellent,Moderate,Full Access,4G,No Access
4267,Poor,Moderate,Partial Access,4G,No Access
4268,Excellent,Moderate,Full Access,4G,Full Access
4269,Fair,Moderate,Full Access,5G,No Access
4270,Excellent,High,No Access,5G,No Access
4271,Excellent,High,No Access,5G,No Access
4272,Fair,High,Partial Access,2G,Full Access
4273,Good,Moderate,Partial Access,3G,Full Access
4274,Fair,High,No Access,3G,Full Access
4275,Excellent,High,No Access,4G,Full Access
4276,Poor,High,Full Access,5G,Limited Access
4277,Excellent,Moderate,Full Access,3G,Limited Access
4278,Fair,High,Full Access,3G,Full Access
4279,Poor,Limited,Full Access,2G,Limited Access
4280,Poor,Moderate,Partial Access,3G,Full Access
4281,Excellent,Moderate,Partial Access,3G,No Access
4282,Fair,Limited,Partial Access,4G,Limited Access
4283,Fair,Limited,Full Access,2G,No Access
4284,Fair,High,Partial Access,5G,Limited Access
4285,Poor,Limited,Full Access,5G,Limited Access
4286,Excellent,High,No Access,2G,Full Access
4287,Excellent,High,Partial Access,3G,No Access
4288,Fair,Limited,Full Access,3G,No Access
4289,Good,Limited,Full Access,5G,Full Access
4290,Excellent,Moderate,No Access,2G,No Access
4291,Fair,High,Partial Access,5G,Full Access
4292,Fair,Limited,Partial Access,4G,No Access
4293,Poor,High,No Access,3G,Limited Access
4294,Poor,High,Partial Access,5G,No Access
4295,Excellent,High,Partial Access,5G,Limited Access
4296,Poor,Moderate,No Access,2G,Limited Access
4297,Excellent,Moderate,Partial Access,3G,No Access
4298,Fair,Limited,Full Access,2G,No Access
4299,Excellent,Limited,Full Access,2G,No Access
4300,Excellent,Moderate,Full Access,3G,Limited Access
4301,Excellent,High,No Access,3G,Limited Access
4302,Fair,Moderate,No Access,5G,Limited Access
4303,Good,Moderate,Partial Access,3G,Full Access
4304,Poor,Limited,Partial Access,2G,Full Access
4305,Poor,Moderate,No Access,4G,Limited Access
4306,Good,High,No Access,2G,No Access
4307,Excellent,Moderate,Full Access,3G,No Access
4308,Fair,Limited,Full Access,3G,Full Access
4309,Good,Limited,Partial Access,3G,Limited Access
4310,Good,Moderate,Full Access,4G,Limited Access
4311,Excellent,Limited,Partial Access,5G,No Access
4312,Good,Moderate,Partial Access,4G,Limited Access
4313,Poor,High,Partial Access,5G,No Access
4314,Poor,Limited,No Access,4G,Limited Access
4315,Good,Moderate,Partial Access,4G,No Access
4316,Excellent,Limited,Partial Access,2G,No Access
4317,Good,High,No Access,3G,Full Access
4318,Excellent,Limited,No Access,4G,Full Access
4319,Fair,Limited,No Access,2G,Limited Access
4320,Fair,Limited,No Access,4G,Full Access
4321,Excellent,High,Partial Access,3G,No Access
4322,Poor,High,Partial Access,4G,No Access
4323,Excellent,Moderate,Full Access,3G,Limited Access
4324,Excellent,Moderate,Partial Access,3G,Full Access
4325,Fair,High,No Access,3G,Full Access
4326,Poor,Limited,Partial Access,4G,Limited Access
4327,Excellent,Moderate,No Access,2G,Limited Access
4328,Fair,High,Partial Access,2G,Full Access
4329,Excellent,Limited,Partial Access,4G,Full Access
4330,Excellent,High,No Access,3G,Limited Access
4331,Fair,Limited,Partial Access,5G,No Access
4332,Excellent,High,No Access,2G,Limited Access
4333,Excellent,Moderate,No Access,3G,No Access
4334,Excellent,High,Full Access,4G,Full Access
4335,Excellent,Moderate,No Access,4G,Limited Access
4336,Fair,Limited,Partial Access,3G,Limited Access
4337,Excellent,High,Partial Access,4G,Full Access
4338,Excellent,Moderate,No Access,3G,Full Access
4339,Fair,Moderate,Partial Access,3G,Full Access
4340,Good,Moderate,Full Access,4G,No Access
4341,Fair,Moderate,No Access,4G,Full Access
4342,Excellent,Limited,No Access,5G,No Access
4343,Fair,Moderate,Partial Access,3G,Full Access
4344,Excellent,Limited,No Access,3G,Full Access
4345,Poor,Moderate,Full Access,3G,Limited Access
4346,Poor,High,No Access,2G,Limited Access
4347,Excellent,Moderate,Full Access,2G,Full Access
4348,Good,Limited,Partial Access,2G,No Access
4349,Good,High,Full Access,4G,Full Access
4350,Poor,High,Full Access,5G,No Access
4351,Good,High,Partial Access,2G,No Access
4352,Poor,Limited,Full Access,2G,No Access
4353,Good,High,Full Access,2G,No Access
4354,Poor,Moderate,Full Access,5G,No Access
4355,Fair,High,No Access,3G,No Access
4356,Fair,Limited,No Access,3G,No Access
4357,Poor,Moderate,Full Access,5G,Limited Access
4358,Poor,High,No Access,3G,Full Access
4359,Poor,High,No Access,2G,No Access
4360,Excellent,High,Full Access,2G,No Access
4361,Good,Limited,Full Access,2G,Limited Access
4362,Fair,Moderate,No Access,2G,Limited Access
4363,Fair,High,Partial Access,5G,Limited Access
4364,Poor,Limited,Partial Access,5G,No Access
4365,Excellent,Limited,Full Access,3G,No Access
4366,Poor,Moderate,Partial Access,3G,Full Access
4367,Excellent,Limited,Full Access,5G,Full Access
4368,Excellent,Moderate,Full Access,4G,Full Access
4369,Excellent,Moderate,Partial Access,4G,Full Access
4370,Poor,Moderate,Full Access,5G,No Access
4371,Fair,Limited,Full Access,5G,Full Access
4372,Good,High,Full Access,2G,Full Access
4373,Excellent,Moderate,No Access,3G,No Access
4374,Poor,Moderate,Full Access,3G,Full Access
4375,Excellent,Limited,Full Access,2G,No Access
4376,Excellent,Moderate,No Access,2G,No Access
4377,Good,Moderate,Full Access,5G,Full Access
4378,Poor,Limited,Full Access,5G,Limited Access
4379,Fair,High,Full Access,4G,Limited Access
4380,Poor,Limited,Full Access,3G,No Access
4381,Fair,Limited,No Access,2G,Limited Access
4382,Poor,Moderate,No Access,3G,Limited Access
4383,Fair,Moderate,Partial Access,2G,No Access
4384,Fair,Limited,Partial Access,3G,Limited Access
4385,Fair,High,Full Access,2G,Full Access
4386,Good,Moderate,Partial Access,5G,Full Access
4387,Good,High,No Access,5G,Limited Access
4388,Excellent,Moderate,No Access,3G,Full Access
4389,Excellent,Moderate,Full Access,3G,Limited Access
4390,Poor,Limited,No Access,5G,No Access
4391,Excellent,Moderate,Partial Access,5G,Full Access
4392,Good,High,Partial Access,3G,Limited Access
4393,Poor,Limited,Full Access,4G,Limited Access
4394,Excellent,Moderate,Partial Access,4G,No Access
4395,Good,High,No Access,3G,Full Access
4396,Excellent,Limited,Partial Access,3G,Full Access
4397,Excellent,Moderate,Partial Access,5G,Full Access
4398,Excellent,Limited,Partial Access,4G,Limited Access
4399,Fair,Moderate,No Access,5G,Limited Access
4400,Excellent,Moderate,Full Access,4G,Limited Access
4401,Good,Limited,Partial Access,2G,Limited Access
4402,Excellent,High,No Access,3G,Full Access
4403,Poor,Limited,Partial Access,5G,Full Access
4404,Good,Limited,Full Access,5G,No Access
4405,Fair,Limited,Full Access,3G,Full Access
4406,Fair,High,No Access,2G,Limited Access
4407,Fair,High,No Access,4G,No Access
4408,Fair,Limited,Full Access,5G,Limited Access
4409,Fair,High,Partial Access,3G,Full Access
4410,Good,Limited,No Access,3G,Limited Access
4411,Poor,Moderate,Partial Access,3G,No Access
4412,Poor,Limited,No Access,3G,No Access
4413,Fair,Limited,No Access,3G,Full Access
4414,Excellent,Moderate,Partial Access,2G,Limited Access
4415,Poor,Moderate,No Access,5G,Full Access
4416,Excellent,Limited,Full Access,5G,No Access
4417,Excellent,Moderate,Full Access,5G,No Access
4418,Good,Moderate,No Access,3G,Limited Access
4419,Good,High,Full Access,5G,Limited Access
4420,Excellent,Limited,Partial Access,4G,Full Access
4421,Excellent,Moderate,Full Access,3G,Full Access
4422,Good,Moderate,Partial Access,3G,No Access
4423,Fair,Limited,No Access,4G,Limited Access
4424,Excellent,Limited,No Access,4G,No Access
4425,Fair,High,Full Access,5G,Full Access
4426,Good,Moderate,Partial Access,2G,No Access
4427,Good,Moderate,No Access,5G,Limited Access
4428,Poor,Limited,Full Access,4G,Full Access
4429,Excellent,Limited,Partial Access,4G,No Access
4430,Poor,Limited,Partial Access,5G,No Access
4431,Good,Moderate,Partial Access,4G,Full Access
4432,Good,Limited,No Access,5G,Full Access
4433,Excellent,Limited,No Access,2G,No Access
4434,Fair,High,Partial Access,5G,Full Access
4435,Poor,High,Full Access,5G,Full Access
4436,Fair,High,Partial Access,5G,Limited Access
4437,Excellent,Limited,No Access,5G,No Access
4438,Good,Moderate,No Access,2G,Full Access
4439,Excellent,High,Full Access,5G,Full Access
4440,Good,High,No Access,4G,Limited Access
4441,Fair,Limited,Partial Access,2G,No Access
4442,Excellent,Moderate,No Access,5G,Limited Access
4443,Excellent,Limited,Partial Access,4G,Limited Access
4444,Good,High,Partial Access,5G,Limited Access
4445,Excellent,High,Full Access,5G,No Access
4446,Poor,Moderate,Partial Access,3G,Full Access
4447,Poor,Limited,Partial Access,5G,No Access
4448,Excellent,Moderate,Partial Access,3G,Full Access
4449,Excellent,Limited,No Access,3G,Limited Access
4450,Poor,High,No Access,3G,No Access
4451,Excellent,High,Full Access,4G,No Access
4452,Fair,Moderate,Partial Access,2G,No Access
4453,Poor,Moderate,No Access,2G,No Access
4454,Poor,Limited,Full Access,2G,Full Access
4455,Poor,Limited,Partial Access,5G,Limited Access
4456,Poor,Limited,Partial Access,4G,Full Access
4457,Excellent,Limited,Partial Access,2G,Full Access
4458,Excellent,Limited,Partial Access,4G,No Access
4459,Excellent,High,No Access,4G,No Access
4460,Excellent,High,No Access,5G,Full Access
4461,Excellent,High,Full Access,5G,No Access
4462,Poor,Moderate,Full Access,2G,Limited Access
4463,Poor,High,Full Access,3G,Full Access
4464,Fair,High,Full Access,4G,Limited Access
4465,Fair,Moderate,No Access,5G,No Access
4466,Poor,Limited,Full Access,3G,Limited Access
4467,Poor,Moderate,Full Access,3G,Limited Access
4468,Fair,High,Full Access,2G,Limited Access
4469,Excellent,Moderate,No Access,3G,Limited Access
4470,Good,Limited,Full Access,4G,Limited Access
4471,Fair,Limited,Full Access,4G,Limited Access
4472,Fair,Limited,Partial Access,4G,No Access
4473,Fair,Limited,Full Access,5G,Full Access
4474,Fair,High,No Access,2G,No Access
4475,Fair,Moderate,No Access,5G,Limited Access
4476,Good,Moderate,No Access,4G,No Access
4477,Good,Moderate,Partial Access,5G,No Access
4478,Fair,Moderate,Full Access,3G,Limited Access
4479,Fair,Moderate,Partial Access,3G,Full Access
4480,Poor,Moderate,Full Access,4G,No Access
4481,Good,Limited,Partial Access,2G,Limited Access
4482,Poor,Moderate,No Access,4G,Full Access
4483,Fair,High,Partial Access,5G,No Access
4484,Good,Moderate,No Access,5G,No Access
4485,Good,Limited,Full Access,4G,Full Access
4486,Excellent,High,Full Access,5G,Limited Access
4487,Fair,Moderate,No Access,2G,No Access
4488,Poor,Moderate,Partial Access,3G,Full Access
4489,Fair,Limited,Partial Access,3G,Limited Access
4490,Poor,Limited,Partial Access,5G,Full Access
4491,Fair,Moderate,No Access,4G,Limited Access
4492,Good,Moderate,No Access,5G,Limited Access
4493,Good,Limited,Partial Access,2G,Full Access
4494,Poor,High,No Access,2G,Full Access
4495,Good,Moderate,Partial Access,4G,No Access
4496,Poor,Limited,Partial Access,3G,No Access
4497,Poor,Moderate,Full Access,4G,No Access
4498,Fair,Limited,No Access,4G,Limited Access
4499,Excellent,Limited,No Access,5G,Full Access
4500,Good,Limited,Partial Access,3G,Full Access
4501,Good,Limited,No Access,4G,Full Access
4502,Good,Limited,Full Access,2G,Limited Access
4503,Fair,High,Partial Access,5G,No Access
4504,Good,Limited,Partial Access,5G,Full Access
4505,Good,Moderate,Full Access,4G,Full Access
4506,Poor,Moderate,Partial Access,5G,No Access
4507,Excellent,Limited,Partial Access,4G,Limited Access
4508,Excellent,High,No Access,4G,Limited Access
4509,Good,Limited,Full Access,3G,Full Access
4510,Excellent,High,No Access,5G,Full Access
4511,Fair,Limited,Full Access,2G,Full Access
4512,Excellent,Moderate,No Access,4G,Full Access
4513,Good,Moderate,No Access,3G,No Access
4514,Good,Moderate,No Access,2G,Limited Access
4515,Poor,Limited,Partial Access,3G,Limited Access
4516,Fair,Limited,Partial Access,2G,Full Access
4517,Excellent,Limited,Partial Access,2G,No Access
4518,Fair,Moderate,No Access,2G,Limited Access
4519,Excellent,High,No Access,4G,Limited Access
4520,Good,Moderate,Partial Access,4G,Limited Access
4521,Excellent,Limited,Full Access,2G,No Access
4522,Fair,Moderate,No Access,5G,Limited Access
4523,Poor,Moderate,Full Access,2G,Limited Access
4524,Fair,Moderate,No Access,5G,No Access
4525,Poor,Moderate,Partial Access,5G,Full Access
4526,Good,Limited,No Access,3G,Full Access
4527,Fair,Limited,Partial Access,4G,Limited Access
4528,Poor,Moderate,Partial Access,4G,Full Access
4529,Excellent,Moderate,No Access,2G,Limited Access
4530,Poor,High,Full Access,5G,Limited Access
4531,Good,Limited,Full Access,2G,Full Access
4532,Fair,Limited,Full Access,3G,No Access
4533,Fair,Moderate,Partial Access,4G,Limited Access
4534,Good,Limited,Partial Access,5G,No Access
4535,Good,High,Full Access,3G,Full Access
4536,Excellent,Limited,No Access,3G,No Access
4537,Poor,High,No Access,3G,Limited Access
4538,Poor,Limited,No Access,5G,No Access
4539,Excellent,Moderate,Full Access,3G,No Access
4540,Poor,Moderate,No Access,2G,No Access
4541,Fair,Moderate,Partial Access,2G,Limited Access
4542,Fair,Limited,Full Access,5G,Full Access
4543,Excellent,High,No Access,3G,Full Access
4544,Poor,Limited,No Access,3G,Full Access
4545,Poor,Moderate,No Access,3G,Limited Access
4546,Good,High,No Access,2G,Full Access
4547,Good,High,No Access,4G,No Access
4548,Poor,Moderate,Partial Access,4G,Full Access
4549,Excellent,Limited,Full Access,3G,Full Access
4550,Poor,High,Partial Access,3G,Limited Access
4551,Poor,High,No Access,5G,Limited Access
4552,Fair,High,Full Access,5G,No Access
4553,Excellent,Moderate,No Access,5G,Limited Access
4554,Good,High,No Access,5G,Limited Access
4555,Excellent,Limited,Full Access,2G,No Access
4556,Poor,Limited,Partial Access,4G,No Access
4557,Excellent,High,Partial Access,4G,No Access
4558,Excellent,High,Full Access,2G,Full Access
4559,Good,Moderate,No Access,3G,No Access
4560,Poor,Moderate,No Access,5G,Full Access
4561,Fair,Limited,No Access,2G,Full Access
4562,Poor,High,Partial Access,2G,No Access
4563,Fair,Limited,Partial Access,5G,Limited Access
4564,Excellent,Limited,Full Access,3G,No Access
4565,Excellent,High,Full Access,4G,Full Access
4566,Poor,High,No Access,5G,Full Access
4567,Good,Limited,No Access,5G,No Access
4568,Fair,High,Partial Access,5G,No Access
4569,Excellent,Moderate,Full Access,4G,Limited Access
4570,Good,Moderate,Full Access,2G,Limited Access
4571,Poor,Limited,Partial Access,4G,Limited Access
4572,Good,Moderate,Full Access,3G,Limited Access
4573,Fair,High,No Access,4G,No Access
4574,Good,Limited,No Access,5G,Full Access
4575,Fair,High,Partial Access,4G,Limited Access
4576,Excellent,Limited,Full Access,5G,Full Access
4577,Poor,High,Partial Access,4G,Limited Access
4578,Fair,High,Full Access,4G,No Access
4579,Excellent,High,Full Access,4G,No Access
4580,Excellent,High,Full Access,2G,Limited Access
4581,Fair,Limited,Full Access,2G,Limited Access
4582,Fair,High,Partial Access,2G,Full Access
4583,Poor,Moderate,No Access,4G,Full Access
4584,Poor,High,Partial Access,4G,Limited Access
4585,Good,High,Full Access,4G,No Access
4586,Poor,Moderate,No Access,4G,No Access
4587,Good,Limited,Full Access,4G,Full Access
4588,Fair,Limited,No Access,4G,Limited Access
4589,Fair,Moderate,Partial Access,4G,Full Access
4590,Excellent,Limited,No Access,5G,No Access
4591,Good,Limited,Full Access,3G,Limited Access
4592,Good,Moderate,Partial Access,3G,Limited Access
4593,Poor,High,Full Access,3G,Full Access
4594,Poor,Limited,Full Access,2G,Limited Access
4595,Good,High,No Access,5G,Limited Access
4596,Fair,Moderate,Partial Access,2G,Full Access
4597,Fair,High,Full Access,4G,Limited Access
4598,Fair,Moderate,No Access,2G,Full Access
4599,Poor,Moderate,Partial Access,2G,No Access
4600,Poor,Moderate,Full Access,5G,No Access
4601,Excellent,Limited,No Access,4G,Limited Access
4602,Good,Limited,Full Access,3G,Full Access
4603,Excellent,Limited,Partial Access,4G,Limited Access
4604,Fair,Moderate,No Access,5G,Limited Access
4605,Fair,Moderate,No Access,2G,Limited Access
4606,Fair,High,No Access,5G,Full Access
4607,Good,Limited,No Access,2G,Limited Access
4608,Excellent,High,Full Access,5G,Full Access
4609,Poor,Limited,Partial Access,2G,Limited Access
4610,Fair,High,Full Access,3G,No Access
4611,Good,Limited,Full Access,5G,No Access
4612,Fair,Limited,No Access,3G,Full Access
4613,Poor,Limited,Partial Access,5G,Full Access
4614,Poor,High,No Access,3G,Limited Access
4615,Good,Moderate,Full Access,2G,No Access
4616,Excellent,Moderate,Partial Access,3G,Full Access
4617,Good,High,No Access,4G,Full Access
4618,Excellent,Limited,Partial Access,4G,Full Access
4619,Excellent,Limited,Full Access,4G,No Access
4620,Good,Limited,No Access,4G,No Access
4621,Excellent,Moderate,No Access,5G,No Access
4622,Fair,Limited,Full Access,5G,Full Access
4623,Fair,Moderate,No Access,3G,Limited Access
4624,Good,High,No Access,5G,Limited Access
4625,Poor,Moderate,No Access,2G,Full Access
4626,Good,High,Full Access,4G,No Access
4627,Poor,High,Full Access,3G,No Access
4628,Good,High,Full Access,4G,Limited Access
4629,Excellent,Moderate,No Access,4G,No Access
4630,Poor,Limited,Full Access,3G,Full Access
4631,Excellent,Limited,Full Access,4G,Limited Access
4632,Fair,High,Full Access,2G,Full Access
4633,Poor,High,No Access,5G,Full Access
4634,Fair,Limited,Full Access,4G,Full Access
4635,Good,Moderate,No Access,5G,No Access
4636,Fair,Moderate,Partial Access,3G,Limited Access
4637,Fair,Moderate,Partial Access,3G,Full Access
4638,Poor,High,Partial Access,2G,No Access
4639,Excellent,Moderate,Partial Access,5G,Full Access
4640,Fair,High,No Access,2G,Full Access
4641,Good,High,Full Access,3G,Full Access
4642,Excellent,Moderate,Full Access,5G,Limited Access
4643,Excellent,Limited,Partial Access,4G,No Access
4644,Poor,High,Partial Access,4G,No Access
4645,Excellent,Limited,No Access,5G,Limited Access
4646,Good,Limited,No Access,4G,No Access
4647,Poor,Moderate,No Access,4G,Full Access
4648,Fair,Limited,No Access,2G,No Access
4649,Good,High,No Access,5G,Full Access
4650,Fair,Moderate,Partial Access,3G,Limited Access
4651,Poor,Moderate,Full Access,5G,No Access
4652,Poor,High,Full Access,3G,Limited Access
4653,Good,Moderate,Partial Access,3G,Full Access
4654,Excellent,Limited,Full Access,4G,Limited Access
4655,Good,Limited,Partial Access,3G,No Access
4656,Poor,High,No Access,3G,No Access
4657,Excellent,Moderate,No Access,3G,No Access
4658,Fair,Moderate,Full Access,3G,Limited Access
4659,Excellent,Limited,Partial Access,3G,No Access
4660,Fair,Moderate,Partial Access,4G,Full Access
4661,Good,Moderate,Full Access,5G,No Access
4662,Poor,High,No Access,4G,Full Access
4663,Excellent,Moderate,Full Access,4G,Full Access
4664,Excellent,Limited,Full Access,5G,No Access
4665,Good,Moderate,No Access,5G,Limited Access
4666,Good,Limited,No Access,3G,Full Access
4667,Poor,Moderate,No Access,5G,Full Access
4668,Fair,Moderate,Partial Access,5G,Limited Access
4669,Fair,Moderate,Full Access,3G,Full Access
4670,Excellent,High,Full Access,5G,No Access
4671,Fair,High,Full Access,4G,No Access
